ax,	ay,	az,	ox,	oy,	oz,	dz,	dv,	t
-3.3337e-01,	-3.6197e-01,	1.0009e+01,	-5.9596e-03,	-7.7289e-03,	2.9324e-03,	0.0000e+00,	0,	1460043938299024266,	372316219
-3.3500e-01,	-3.4813e-01,	1.0023e+01,	-5.8308e-03,	-6.9749e-03,	2.2451e-03,	0.0000e+00,	0,	1460043938301555540,	374847493
-3.3595e-01,	-3.4652e-01,	1.0044e+01,	-5.0694e-03,	-6.9724e-03,	2.3634e-03,	0.0000e+00,	0,	1460043938304065689,	377357642
-3.3024e-01,	-3.5635e-01,	1.0049e+01,	-4.7752e-03,	-7.7181e-03,	2.6760e-03,	0.0000e+00,	0,	1460043938306523213,	379815166
-3.2168e-01,	-3.6044e-01,	1.0031e+01,	-4.7985e-03,	-7.9836e-03,	2.1342e-03,	0.0000e+00,	0,	1460043938309030820,	382322773
-3.2279e-01,	-3.4919e-01,	1.0018e+01,	-4.2909e-03,	-7.6797e-03,	1.2747e-03,	0.0000e+00,	0,	1460043938311567010,	384858963
-3.3065e-01,	-3.3962e-01,	1.0031e+01,	-4.2926e-03,	-6.7218e-03,	3.2681e-04,	0.0000e+00,	0,	1460043938314027909,	387319862
-3.2486e-01,	-3.3556e-01,	1.0043e+01,	-4.8542e-03,	-5.1316e-03,	1.5695e-04,	0.0000e+00,	0,	1460043938316518308,	389810261
-3.1339e-01,	-3.4020e-01,	1.0037e+01,	-5.3404e-03,	-4.7699e-03,	1.4651e-03,	0.0000e+00,	0,	1460043938319074623,	392366576
-3.1770e-01,	-3.5197e-01,	1.0033e+01,	-5.8137e-03,	-5.6762e-03,	3.3355e-03,	0.0000e+00,	0,	1460043938321535939,	394827892
-3.3287e-01,	-3.5593e-01,	1.0041e+01,	-5.8716e-03,	-6.0500e-03,	4.9275e-03,	0.0000e+00,	0,	1460043938324018130,	397310083
-3.3672e-01,	-3.4869e-01,	1.0052e+01,	-5.6405e-03,	-5.3776e-03,	4.8956e-03,	0.0000e+00,	0,	1460043938326539862,	399831815
-3.1958e-01,	-3.4147e-01,	1.0059e+01,	-5.4087e-03,	-4.2070e-03,	3.5944e-03,	1.3474e-01,	1,	1460043938329075885,	402367838
-3.0533e-01,	-3.4332e-01,	1.0062e+01,	-4.6619e-03,	-4.1245e-03,	2.4955e-03,	0.0000e+00,	0,	1460043938331516868,	404808821
-3.1343e-01,	-3.5102e-01,	1.0052e+01,	-4.8076e-03,	-5.1666e-03,	2.5117e-03,	0.0000e+00,	0,	1460043938334040266,	407332219
-3.2891e-01,	-3.5809e-01,	1.0045e+01,	-5.3040e-03,	-5.5824e-03,	2.7093e-03,	0.0000e+00,	0,	1460043938336544957,	409836910
-3.3854e-01,	-3.6259e-01,	1.0045e+01,	-5.8965e-03,	-4.8445e-03,	2.4650e-03,	1.3476e-01,	1,	1460043938339026606,	412318559
-3.3536e-01,	-3.6647e-01,	1.0046e+01,	-6.2106e-03,	-4.6047e-03,	3.1629e-03,	0.0000e+00,	0,	1460043938341540963,	414832916
